1	film.character
2	character.film
3	film.festival
4	festival.film
5	film.crewmember
6	crewmember.film
7	film.film_crew_role
8	film_crew_role.film
9	film.person
10	person.film
11	film.type_of_appearance
12	type_of_appearance.film
13	film.special__type
14	special__type.film
15	film.distributor
16	distributor.film
17	producer.film
18	film.produced_by
19	film_regional_release_date.film
20	film.release_date_s
21	director.film
22	film.directed_by
23	film.genre
24	film_genre.films_in_this_genre
25	editor.film
26	film.edited_by
27	writer.film
28	film.written_by
29	cinematographer.film
30	film.cinematography
31	music_contributor.film
32	film.music
33	film.runtime
34	film_cut.film
35	film.rating
36	content_rating.film
37	film_art_director.films_art_directed
38	film.film_art_direction_by
39	film_story_contributor.film_story_credits
40	film.story_by
41	producer.films_executive_produced
42	film.executive_produced_by
43	film.film_production_design_by
44	film_production_designer.films_production_designed
45	film.costume_design_by
46	film_costumer_designer.costume_design_for_film
47	film.production_companies
48	production_company.films
49	film.film_casting_director
50	film_casting_director.films_casting_directed
51	film.film_set_decoration_by
52	film_set_designer.film_sets_designed
53	film.actor
54	actor.film
55	film_regional_release_date.film_release_region
56	film_regional_release_date.film_release_distribution_medium
57	film.country
58	film.language
